,country,province,latitude,longitude,points,variety,Temperature,Humidity
12877,Spain,Spain Other,40.46366700000001,-3.7492199999999998,91,Chardonnay,55.49,87
13055,Canada,Ontario,51.253775,-85.32321400000001,90,Pinot Noir,19.4,48
13336,Australia,New South Wales,-31.2532183,146.921099,86,Chardonnay,54.52,57
13758,Chile,Malleco,-38.1635613,-72.5204827,83,Pinot Noir,60.8,42
14150,Romania,Viile Timisului,45.8066071,27.942918100000004,86,Pinot Noir,53.22,87
14731,Brazil,Vale dos Vinhedos,-29.196267300000002,-51.557401399999996,80,Chardonnay,78.48,49
14755,Germany,Mosel,49.167178899999996,6.2118023,90,Pinot Noir,64.99,58
15466,Greece,Epanomi,40.428976399999996,22.9304174,90,Chardonnay,62.1,82
16421,Austria,Südsteiermark,46.7754628,15.548054800000001,89,Chardonnay,55.0,61
16756,South Africa,Ceres Plateau,-33.400688300000006,19.295048,88,Pinot Noir,63.12,32
16831,New Zealand,Canterbury,-43.7542275,171.1637245,82,Pinot Noir,41.0,71
18970,Romania,Dealu Mare,45.1638854,25.447460600000003,84,Chardonnay,55.0,85
19502,Uruguay,Canelones,-34.52910429999999,-56.28734820000001,84,Pinot Noir,78.57,53
20090,Chile,Elqui Valley,-29.8294614,-70.81199529999998,88,Chardonnay,62.6,82
20731,France,Southwest France,46.227638,2.213749,87,Chardonnay,59.14,82
21390,Italy,Central Italy,41.87194,12.56738,91,Chardonnay,63.64,77
21780,Switzerland,Switzerland,46.818188,8.227511999999999,89,Pinot Noir,53.06,52
21910,New Zealand,Waitaki Valley,-44.67243209999999,170.39343530000002,89,Pinot Noir,40.51,64
22747,New Zealand,Waipara,-43.05483419999999,172.7612505,83,Pinot Noir,44.31,75
22864,South Africa,Simonsberg-Stellenbosch,-33.9273187,18.880768,88,Chardonnay,61.36,93
23401,US,North Carolina,35.759573100000004,-79.01929969999998,82,Chardonnay,65.57,68
23803,Israel,Negev,30.714086100000003,34.875747600000004,89,Pinot Noir,67.95,47
24339,France,Provence,44.0144936,6.211643799999999,86,Pinot Noir,55.08,95
24567,Germany,Rheingau,49.9999818,7.9837394,91,Pinot Noir,58.93,51
25070,Brazil,Campanha,-21.834386399999996,-45.3990201,85,Pinot Noir,72.61,52
25449,Greece,Drama,41.1502273,24.146948899999998,88,Chardonnay,62.22,99
25682,Romania,Sebes,45.959558799999996,23.5663758,88,Chardonnay,53.76,76
25719,Portugal,Duriense,38.7319013,-9.150113300000001,84,Pinot Noir,61.83,59
25874,Uruguay,Progreso,-34.6636109,-56.2230875,84,Pinot Noir,78.53,53
26980,Chile,Leyda Valley-Maipo Valley,-33.61315740000001,-71.4501843,87,Pinot Noir,73.63,68
27197,Mexico,Valle de Guadalupe,32.0956281,-116.572572,83,Chardonnay,60.31,76
28404,Chile,Curicó and Maipo Valleys,-34.97798529999999,-71.2528803,86,Chardonnay,75.87,49
29759,New Zealand,Waiheke Island,-36.8019237,175.1080146,92,Chardonnay,59.63,98
30067,Germany,Ahr,50.46560059999999,6.9512367,87,Pinot Noir,55.99,64
30249,Austria,Wachau,48.3896089,15.4748897,86,Chardonnay,52.92,58
30516,Romania,Romania,45.943160999999996,24.96676,88,Pinot Noir,52.2,81
31009,New Zealand,Wairau Valley,-41.565373,173.5286352,86,Pinot Noir,45.34,82
31230,Israel,Galil,33.078281800000006,35.448486700000004,84,Chardonnay,69.03,73
31720,South Africa,Constantia,-34.02576079999999,18.4230789,91,Chardonnay,62.1,93
33401,US,Idaho,44.0682019,-114.74204080000001,88,Chardonnay,39.2,41
33448,Greece,Atalanti Valley,38.65286629999999,22.998361,88,Chardonnay,68.0,50
34482,Chile,Molina,-35.1164987,-71.28297590000001,81,Chardonnay,75.85,49
34854,South Africa,Hemel en Aarde,-34.4116592,19.2065868,90,Pinot Noir,62.47,90
35528,Germany,Rheinhessen,49.893532799999996,8.0850303,87,Pinot Noir,61.0,51
36370,Brazil,Serra Gaúcha,33.6340669,-112.23521159999999,88,Chardonnay,74.32,32
37054,Portugal,Península de Setúbal,38.5714934,-8.900105400000001,88,Chardonnay,62.06,63
37693,South Africa,Cape South Coast,-29.905539,30.981032,85,Pinot Noir,67.71,83
40866,Spain,Central Spain,40.46366700000001,-3.7492199999999998,84,Chardonnay,55.49,87
40956,Austria,Südoststeiermark,46.8885229,15.8936247,86,Pinot Noir,55.99,61
42039,Greece,Pangeon,40.9166667,24.0833333,85,Chardonnay,60.67,99
42092,Chile,Itata Valley,-36.7717771,-72.4311736,83,Pinot Noir,69.19,40
43357,Austria,Austria,47.516231,14.550072,84,Chardonnay,56.77,59
44831,Spain,Levante,37.8945909,-4.754921800000001,84,Chardonnay,69.8,56
44833,Chile,Apalta,-34.592729399999996,-71.291969,84,Chardonnay,75.72,49
47508,Romania,Jidvei,46.2226645,24.109894699999998,88,Chardonnay,53.73,71
47954,Israel,Dan,47.55458369999999,-122.38661040000001,88,Chardonnay,54.66,66
48463,New Zealand,East Coast,-36.726621,174.74552590000002,86,Chardonnay,57.09,94
48721,Austria,Weinviertel,48.385174,16.51453,92,Chardonnay,53.78,42
50136,Croatia,Podunavlje,45.630613000000004,18.8133484,84,Pinot Noir,63.55,55
51549,Slovenia,Vipavska Dolina,45.8869925,13.9044564,90,Pinot Noir,58.5,63
51718,Slovenia,Brda,45.9975652,13.527047400000002,90,Pinot Noir,63.48,53
54055,US,Arizona,34.048928100000005,-111.0937311,84,Chardonnay,60.48,41
55043,Brazil,Pinto Bandeira,-29.0974864,-51.45032339999999,87,Pinot Noir,77.9,49
56273,Chile,Pirque,-33.687473600000004,-70.5883812,89,Chardonnay,78.42,34
58501,Macedonia,Tikves,41.4351304,22.0028083,87,Chardonnay,69.8,40
58619,Slovenia,Goriska Brda,45.9975652,13.527047400000002,89,Chardonnay,63.48,53
58639,Hungary,Eger,47.9025348,20.3772284,89,Chardonnay,50.29,55
58657,Bulgaria,Bulgaria,42.733883,25.48583,84,Chardonnay,64.99,43
58827,Portugal,Estremadura,39.425684000000004,-8.975415,86,Chardonnay,61.36,68
60360,Chile,Requinoa,-34.2883749,-70.815833,86,Chardonnay,75.2,57
61542,US,New Mexico,34.5199402,-105.87009009999998,85,Pinot Noir,58.01,36
63340,Slovenia,Štajerska,46.3111036,15.512271100000001,88,Pinot Noir,57.06,82
63682,Morocco,Zenata,33.7019176,-7.396079400000001,88,Chardonnay,66.13,63
65413,Austria,Steiermark,47.3593442,14.4699827,86,Chardonnay,57.33,59
67526,Greece,Peloponnese,37.507947200000004,22.37349,86,Chardonnay,64.44,72
71468,New Zealand,South Island,-45.15267069999999,169.8926333,86,Pinot Noir,33.44,66
71918,Greece,Krania Olympus,39.954899,21.967369,87,Chardonnay,65.28,42
72501,US,Ohio,40.4172871,-82.90712300000001,87,Chardonnay,52.9,68
74251,Hungary,Villány,45.87003989999999,18.453201,90,Pinot Noir,62.1,55
75053,South Africa,Simonsberg-Paarl,54.43666700000001,8.971943999999997,89,Chardonnay,51.01,41
77855,Portugal,Tejo,39.752844200000006,-5.2532283999999985,85,Chardonnay,63.01,60
79659,US,Texas,31.968598800000002,-99.9018131,82,Chardonnay,75.67,36
79663,Peru,Ica,-14.075460000000001,-75.7341811,82,Chardonnay,72.55,73
82855,Chile,Casablanca & Leyda Valleys,33.5731104,-7.589843399999999,85,Chardonnay,66.13,68
85902,Morocco,Morocco,31.791702,-7.092619999999998,88,Chardonnay,60.33,48
